session_id,session_start_utc,session_date_lagos,visitor_id,source,channel,medium,campaign,gclid,device,country,landing_page,page_views,duration_seconds,user_agent,is_new_visitor,converted,transaction_id,revenue_ngn,is_bot,is_spam
S000000011,2023-01-01T08:51:56Z,2023-01-01,u045484,yt,YouTube,referral,Not applicable,Not applicable,Mobile,Nigeria,/shop/harmattan-drop,1,20,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000012,2023-01-01T17:36:45Z,2023-01-01,u066734,fb,Facebook / Meta,referral,wedding_season_23,Not applicable,Desktop,Nigeria,/portfolio,1,30,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000013,2023-01-01T18:25:30Z,2023-01-01,u081082,vimeo,Referral / Other,organic,wedding_season_23,Not applicable,Tablet,Nigeria,/blog/5-tips-for-your-wedding-film,2,142,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000014,2023-01-01T13:44:14Z,2023-01-01,u073845,fb,Facebook / Meta,paid,Not applicable,Not applicable,Mobile,South Africa,/contact,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000015,2023-01-01T22:59:50Z,2023-01-01,u031330,(direct),Direct,none,Not applicable,Not applicable,Desktop,United States,/shop,1,0,SemrushBot/7~bl,False,False,Not applicable,0.0,True,False
S000000016,2023-01-01T17:13:10Z,2023-01-01,u047429,yt,YouTube,paid,retarget_q4,Not applicable,Tablet,Nigeria,/,9,522,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000017,2023-01-01T14:43:49Z,2023-01-01,u012009,ig,Instagram,referral,black_friday,Not applicable,Mobile,Nigeria,/shop,60,0,SemrushBot/7~bl,True,False,Not applicable,0.0,True,False
S000000018,2023-01-01T19:14:39Z,2023-01-01,u061922,referral,Referral / Other,paid,retarget_q4,Not applicable,Tablet,Nigeria,/about,4,318,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000019,2023-01-01T12:50:10Z,2023-01-01,u069955,meta,Facebook / Meta,social,retarget_q4,Not applicable,Desktop,United Kingdom,/,4,168,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000020,2023-01-01T17:45:59Z,2023-01-01,u013581,newsletter,Email,none,harmattan_drop,Not applicable,Mobile,Nigeria,/about,1,58,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000021,2023-01-01T17:25:44Z,2023-01-01,u014111,direct,Direct,paid,showreel_push,Not applicable,Desktop,Kenya,/portfolio,15,385,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000022,2023-01-01T21:34:22Z,2023-01-01,u050571,twitter,Referral / Other,email,wedding_season_23,Not applicable,Mobile,Nigeria,/portfolio,6,263,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000023,2023-01-01T12:36:22Z,2023-01-01,u077248,ig,Instagram,social,Not applicable,Not applicable,Desktop,Kenya,/shop/harmattan-drop,4,364,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000024,2023-01-01T11:26:02Z,2023-01-01,u062581,linkedin,Referral / Other,social,retarget_q4,Not applicable,Desktop,Kenya,/shop/harmattan-drop,2,70,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000025,2023-01-01T05:17:28Z,2023-01-01,u043212,tiktok,TikTok,none,wedding_season_24,Not applicable,Mobile,Nigeria,/rates,3,181,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000026,2023-01-01T18:38:44Z,2023-01-01,u057503,twitter,Referral / Other,email,Not applicable,Not applicable,Mobile,United States,/blog/5-tips-for-your-wedding-film,4,158,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000027,2023-01-01T00:05:30Z,2023-01-01,u054579,newsletter,Email,referral,wedding_season_24,Not applicable,Desktop,Nigeria,/booking,1,0,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000028,2023-01-01T16:06:37Z,2023-01-01,u030822,x.com,Referral / Other,email,lagos_nights_launch,Not applicable,Mobile,Ghana,/rates,15,291,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000029,2023-01-01T09:14:10Z,2023-01-01,u038329,instagram,Instagram,social,retarget_q4,Not applicable,Tablet,Nigeria,/commercial,1,81,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000030,2023-01-01T19:36:52Z,2023-01-01,u039984,ig,Instagram,email,Not applicable,Not applicable,Desktop,United States,/shop,3,271,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,False,False,Not applicable,0.0,False,False
S000000031,2023-01-01T04:06:13Z,2023-01-01,u053817,fb,Facebook / Meta,none,black_friday,Not applicable,Tablet,Nigeria,/weddings,1,94,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000032,2023-01-01T18:36:40Z,2023-01-01,u027539,google,Google,none,harmattan_drop,Not applicable,Desktop,Nigeria,/portfolio,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000033,2023-01-01T22:19:04Z,2023-01-01,u078638,twitter,Referral / Other,none,black_friday,Not applicable,Tablet,Kenya,/blog/5-tips-for-your-wedding-film,1,39,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000034,2023-01-01T18:58:25Z,2023-01-01,u062324,instagram,Instagram,email,black_friday,Not applicable,Mobile,Nigeria,/rates,3,194,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000035,2023-01-01T02:19:57Z,2023-01-01,u027550,newsletter,Email,paid,Not applicable,Not applicable,Mobile,United States,/contact,2,118,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000036,2023-01-01T07:01:53Z,2023-01-01,u035353,x.com,Referral / Other,none,wedding_season_24,Not applicable,Mobile,Ghana,/weddings,1,0,HeadlessChrome/119.0.0.0,True,False,Not applicable,0.0,True,False
S000000037,2023-01-01T15:08:20Z,2023-01-01,u029109,tiktok,TikTok,referral,wedding_season_23,Not applicable,Mobile,South Africa,/shop,2,127,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000038,2023-01-01T18:35:57Z,2023-01-01,u050690,youtube,YouTube,referral,black_friday,Not applicable,Mobile,Nigeria,/shop/harmattan-drop,4,274,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,False,False,Not applicable,0.0,False,False
S000000039,2023-01-01T11:23:03Z,2023-01-01,u020952,google.com,Google,organic,showreel_push,Not applicable,Tablet,Nigeria,/commercial,9,363,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000040,2023-01-01T18:45:11Z,2023-01-01,u081676,x.com,Referral / Other,paid,blackfriday24,Not applicable,Tablet,Nigeria,/portfolio,9,375,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000041,2023-01-01T21:26:50Z,2023-01-01,u061801,email,Email,organic,Not applicable,Not applicable,Mobile,Nigeria,/,1,37,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000042,2023-01-01T11:17:36Z,2023-01-01,u027613,tiktok,TikTok,paid,harmattan_drop,Not applicable,Mobile,Nigeria,/commercial,3,185,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,False,False,Not applicable,0.0,False,False
S000000043,2022-12-31T23:42:33Z,2023-01-01,u069727,email,Email,none,brand_always_on,Not applicable,Mobile,Kenya,/shop,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000044,2023-01-01T18:16:21Z,2023-01-01,u016596,vimeo,Referral / Other,none,Not applicable,Not applicable,Mobile,Nigeria,/portfolio,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000045,2023-01-01T17:25:52Z,2023-01-01,u052972,direct,Direct,social,Not applicable,Not applicable,Desktop,Nigeria,/shop,1,34,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000046,2023-01-01T09:12:54Z,2023-01-01,u044505,google,Google,social,harmattan_drop,Not applicable,Desktop,Nigeria,/blog/5-tips-for-your-wedding-film,2,183,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000047,2023-01-01T17:52:27Z,2023-01-01,u001007,(direct),Direct,referral,blackfriday24,Not applicable,Mobile,Nigeria,/portfolio,2,159,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000048,2023-01-01T16:49:33Z,2023-01-01,u018328,google.com,Google,paid,retarget_q4,Not applicable,Desktop,Nigeria,/rates,4,272,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000049,2023-01-01T17:33:56Z,2023-01-01,u059052,google,Google,none,Not applicable,Not applicable,Mobile,Ghana,/rates,4,114,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000050,2023-01-01T16:11:26Z,2023-01-01,u080833,direct,Direct,social,Not applicable,Not applicable,Desktop,United Kingdom,/shop,1,92,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000051,2023-01-01T05:23:28Z,2023-01-01,u072259,email,Email,social,showreel_push,Not applicable,Mobile,Nigeria,/rates,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000052,2023-01-01T15:10:22Z,2023-01-01,u031139,twitter,Referral / Other,organic,retarget_q4,Not applicable,Tablet,Nigeria,/contact,1,0,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000053,2023-01-01T09:47:53Z,2023-01-01,u002446,instagram,Instagram,social,showreel_push,Not applicable,Desktop,Nigeria,/shop,1,38,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000054,2023-01-01T11:28:01Z,2023-01-01,u055738,tik tok,TikTok,none,Not applicable,Not applicable,Mobile,Kenya,/portfolio,3,133,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000055,2023-01-01T22:51:36Z,2023-01-01,u027292,direct,Direct,none,wedding_season_24,Not applicable,Mobile,Nigeria,/portfolio,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000056,2023-01-01T20:18:04Z,2023-01-01,u034336,vimeo,Referral / Other,paid,showreel_push,Not applicable,Mobile,Nigeria,/blog/5-tips-for-your-wedding-film,2,150,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000057,2023-01-01T22:52:55Z,2023-01-01,u060372,email,Email,social,harmattan_drop,Not applicable,Tablet,Nigeria,/blog/5-tips-for-your-wedding-film,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000058,2023-01-01T04:34:01Z,2023-01-01,u073069,twitter,Referral / Other,organic,retarget_q4,Not applicable,Mobile,Nigeria,/portfolio,1,70,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000059,2023-01-01T07:55:03Z,2023-01-01,u010507,meta,Facebook / Meta,social,wedding_season_24,Not applicable,Desktop,Nigeria,/commercial,1,0,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000060,2023-01-01T11:24:59Z,2023-01-01,u022510,email,Email,social,harmattan_drop,Not applicable,Tablet,Nigeria,/shop/harmattan-drop,3,247,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,True,ORD527190,158000.0,False,False
S000000061,2023-01-01T13:26:56Z,2023-01-01,u016082,ig,Instagram,paid,harmattan_drop,Not applicable,Desktop,United States,/shop,3,127,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000062,2023-01-01T17:48:25Z,2023-01-01,u081894,linkedin,Referral / Other,paid,lagos_nights_launch,Not applicable,Mobile,South Africa,/contact,1,42,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000063,2023-01-01T16:10:04Z,2023-01-01,u030174,behance,Referral / Other,referral,retarget_q4,Not applicable,Desktop,Ghana,/shop/harmattan-drop,1,61,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000064,2023-01-01T11:04:37Z,2023-01-01,u084632,instagram,Instagram,paid,harmattan_drop,Not applicable,Mobile,United States,/about,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000065,2023-01-01T10:34:33Z,2023-01-01,u016920,ig,Instagram,social,showreel_push,Not applicable,Desktop,Nigeria,/booking,9,723,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000066,2023-01-01T07:53:06Z,2023-01-01,u007890,vimeo,Referral / Other,social,wedding_season_23,Not applicable,Mobile,Nigeria,/contact,4,343,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000067,2023-01-01T11:34:57Z,2023-01-01,u062560,instagram,Instagram,social,retarget_q4,Not applicable,Mobile,Nigeria,/commercial,2,82,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000068,2023-01-01T05:20:17Z,2023-01-01,u007097,meta,Facebook / Meta,paid,wedding_season_23,Not applicable,Desktop,Nigeria,/booking,3,198,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000069,2023-01-01T08:42:05Z,2023-01-01,u011054,google,Google,paid,harmattan_drop,Not applicable,Tablet,Nigeria,/portfolio,3,104,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,False,False,Not applicable,0.0,False,False
S000000070,2023-01-01T12:24:26Z,2023-01-01,u030711,ig,Instagram,social,black_friday,Not applicable,Mobile,United Kingdom,/booking,1,0,Mozilla/5.0 (compatible; SEMrush spider),False,False,Not applicable,0.0,True,False
S000000071,2023-01-01T16:35:04Z,2023-01-01,u036660,fb,Facebook / Meta,social,brand_always_on,Not applicable,Mobile,Nigeria,/rates,1,0,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,False,False,Not applicable,0.0,False,False
S000000072,2023-01-01T11:11:00Z,2023-01-01,u088884,ig,Instagram,paid,black_friday,Not applicable,Desktop,United States,/shop,2,30,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000073,2023-01-01T12:20:54Z,2023-01-01,u053590,x.com,Referral / Other,paid,brand_always_on,Not applicable,Mobile,United States,/booking,6,439,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000074,2023-01-01T14:09:57Z,2023-01-01,u076868,email,Email,paid,black_friday,Not applicable,Tablet,Nigeria,/contact,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000075,2023-01-01T04:01:27Z,2023-01-01,u007637,facebook,Facebook / Meta,paid,harmattan_drop,Not applicable,Mobile,Nigeria,/booking,9,135,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000076,2023-01-01T17:44:26Z,2023-01-01,u078607,google,Google,referral,harmattan_drop,Not applicable,Mobile,Nigeria,/blog/5-tips-for-your-wedding-film,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000077,2023-01-01T11:25:34Z,2023-01-01,u021541,email,Email,social,lagos_nights_launch,Not applicable,Tablet,Nigeria,/blog/5-tips-for-your-wedding-film,4,87,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000078,2023-01-01T15:35:38Z,2023-01-01,u064046,direct,Direct,email,retarget_q4,Not applicable,Desktop,Nigeria,/booking,1,0,Mozilla/5.0 (compatible; AhrefsBot/7.0),True,False,Not applicable,0.0,True,False
S000000079,2023-01-01T21:51:22Z,2023-01-01,u044676,fb,Facebook / Meta,paid,brand_always_on,Not applicable,Desktop,Nigeria,/shop/harmattan-drop,40,0,curl/8.1.2,True,False,Not applicable,0.0,True,False
S000000080,2023-01-01T18:00:43Z,2023-01-01,u044355,google,Google,paid,brand_always_on,Not applicable,Desktop,Ghana,/blog/5-tips-for-your-wedding-film,2,116,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000081,2023-01-01T18:29:28Z,2023-01-01,u066463,google,Google,referral,wedding_season_23,Not applicable,Mobile,Nigeria,/portfolio,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000082,2023-01-01T16:12:01Z,2023-01-01,u029704,instagram,Instagram,organic,harmattan_drop,Not applicable,Mobile,Nigeria,/about,1,0,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000083,2023-01-01T15:39:17Z,2023-01-01,u065202,linkedin,Referral / Other,none,showreel_push,Not applicable,Mobile,Nigeria,/weddings,2,85,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000084,2023-01-01T06:41:45Z,2023-01-01,u020621,email,Email,paid,lagos_nights_launch,Not applicable,Tablet,Nigeria,/about,6,239,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,False,False,Not applicable,0.0,False,False
S000000085,2023-01-01T17:14:10Z,2023-01-01,u052289,vimeo,Referral / Other,paid,Not applicable,Not applicable,Tablet,United States,/shop,4,151,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000086,2023-01-01T04:09:33Z,2023-01-01,u040271,meta,Facebook / Meta,paid,harmattan_drop,Not applicable,Mobile,Nigeria,/portfolio,1,0,Mozilla/5.0 (compatible; SEMrush spider),True,False,Not applicable,0.0,True,False
S000000087,2023-01-01T19:19:19Z,2023-01-01,u069618,x.com,Referral / Other,none,Not applicable,Not applicable,Mobile,Nigeria,/blog/5-tips-for-your-wedding-film,2,68,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000088,2023-01-01T17:47:26Z,2023-01-01,u073723,direct,Direct,paid,wedding_season_24,Not applicable,Desktop,Nigeria,/,1,0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,True,Not applicable,68000.0,False,False
S000000089,2023-01-01T14:44:58Z,2023-01-01,u044657,direct,Direct,none,harmattan_drop,Not applicable,Desktop,Ghana,/about,2,125,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000090,2023-01-01T02:43:54Z,2023-01-01,u082072,(direct),Direct,paid,retarget_q4,Not applicable,Desktop,Nigeria,/shop/harmattan-drop,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000091,2023-01-01T16:13:10Z,2023-01-01,u074412,instagram,Instagram,social,harmattan_drop,Not applicable,Mobile,Nigeria,/shop,1,0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000092,2023-01-01T17:14:39Z,2023-01-01,u018215,google.com,Google,paid,retarget_q4,Not applicable,Tablet,United Kingdom,/portfolio,1,62,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000093,2023-01-01T11:32:15Z,2023-01-01,u073800,direct,Direct,paid,harmattan_drop,Not applicable,Mobile,Nigeria,/weddings,2,73,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000094,2023-01-01T20:13:59Z,2023-01-01,u006426,newsletter,Email,social,Not applicable,Not applicable,Mobile,Nigeria,/about,4,272,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000095,2023-01-01T09:41:48Z,2023-01-01,u076867,google,Google,paid,Not applicable,Not applicable,Mobile,Nigeria,/shop/harmattan-drop,4,251,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000096,2023-01-01T17:39:34Z,2023-01-01,u080512,instagram,Instagram,organic,wedding_season_23,Not applicable,Desktop,Nigeria,/shop,40,0,Mozilla/5.0 (compatible; SEMrush spider),True,False,Not applicable,0.0,True,False
S000000097,2023-01-01T08:50:56Z,2023-01-01,u070856,tiktok,TikTok,referral,harmattan_drop,Not applicable,Desktop,South Africa,/shop,60,0,curl/8.1.2,True,False,Not applicable,0.0,True,False
S000000098,2023-01-01T19:55:51Z,2023-01-01,u008043,tiktok,TikTok,none,harmattan_drop,Not applicable,Desktop,Nigeria,/contact,1,80,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000099,2023-01-01T18:10:01Z,2023-01-01,u055929,ig,Instagram,email,Not applicable,Not applicable,Tablet,Kenya,/about,6,404,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
