refund_id,refund_key,order_id,refund_date,refund_date_if_day_first,refund_date_if_month_first,refund_amount_ngn,reason,processed_by,dq_flags
RF-10328,RF-10328,ORD526757,2025-05-15,Not applicable,Not applicable,13050.0,Wrong size,Auto,amount_written_as_negative
RF-10345,RF-10345,ORD528154,2025-06-24,Not applicable,Not applicable,0.0,Wrong size,Unknown,No issues
RF-10397,RF-10397,ORD521402,2024-12-25,Not applicable,Not applicable,7450.0,Damaged,Ops,amount_written_as_negative
RF-10399,RF-10399,ORD524061,2025-03-20,Not applicable,Not applicable,73500.0,Unknown,Support,amount_written_as_negative
RF-10432,RF-10432,ORD524863,2025-04-15,Not applicable,Not applicable,18400.0,Wrong size,Auto,amount_written_as_negative
RF-10449,RF-10449,ORD508203,2023-12-25,Not applicable,Not applicable,26850.0,Damaged,Support,No issues
RF-10475,RF-10475,ORD516827,2024-08-26,Not applicable,Not applicable,54500.0,Unknown,Support,amount_written_as_negative
RF-10489,RF-10489,ORD525987,2025-04-15,Not applicable,Not applicable,28400.0,Changed mind,Ops,amount_written_as_negative
RF-10498,RF-10498,ORD520863,2024-12-29,Not applicable,Not applicable,9800.0,Not as pictured,Support,No issues
RF-10504,RF-10504,ORD505684,2023-09-10,Not applicable,Not applicable,1100.0,Changed mind,Unknown,No issues
RF-10508,RF-10508-1,ORD525421,2025-04-20,Not applicable,Not applicable,28200.0,Wrong size,Ops,"refund_id_shared_with_other_refunds,amount_written_as_negative"
RF-10508,RF-10508-2,ORD523065,2025-02-22,Not applicable,Not applicable,15300.0,Wrong size,Support,refund_id_shared_with_other_refunds
RF-10534,RF-10534,ORD504807,2023-07-24,Not applicable,Not applicable,8100.0,Unknown,Unknown,No issues
RF-10542,RF-10542,ORD524172,2025-03-01,Not applicable,Not applicable,5100.0,Changed mind,Support,amount_written_as_negative
RF-10546,RF-10546,ORD523333,2025-02-26,Not applicable,Not applicable,13800.0,Not as pictured,Support,amount_written_as_negative
RF-10547,RF-10547,ORD522102,2025-01-21,Not applicable,Not applicable,170400.0,Duplicate order,Support,No issues
RF-10560,RF-10560,ORD510841,2024-02-05,Not applicable,Not applicable,5000.0,Late delivery,Auto,No issues
RF-10579,RF-10579,ORD519605,2024-12-10,Not applicable,Not applicable,19000.0,Damaged,Unknown,No issues
RF-10592,RF-10592,ORD504508,2023-08-03,Not applicable,Not applicable,53600.0,Wrong size,Auto,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-10593,RF-10593,ORD519676,2024-12-14,Not applicable,Not applicable,6000.0,Unknown,Auto,No issues
RF-10623,RF-10623,ORD516788,2024-09-10,Not applicable,Not applicable,25300.0,Changed mind,Ops,amount_written_as_negative
RF-10633,RF-10633,ORD525990,2025-04-24,Not applicable,Not applicable,5200.0,Damaged,Ops,amount_written_as_negative
RF-10634,RF-10634,ORD512382,2024-03-11,Not applicable,Not applicable,24800.0,Damaged,Unknown,refund_date_format_resolved_by_refund_window
RF-10649,RF-10649,ORD519468,2024-12-10,Not applicable,Not applicable,0.0,Wrong size,Ops,No issues
RF-10652,RF-10652,ORD528031,2025-07-06,Not applicable,Not applicable,31400.0,Changed mind,Auto,amount_written_as_negative
RF-10656,RF-10656,ORD526526,2025-05-31,Not applicable,Not applicable,155700.0,Late delivery,Ops,amount_written_as_negative
RF-10677,RF-10677,ORD504464,2023-07-05,Not applicable,Not applicable,11050.0,Changed mind,Support,amount_written_as_negative
RF-10690,RF-10690,ORD514047,2024-06-16,Not applicable,Not applicable,9400.0,Wrong size,Ops,No issues
RF-10697,RF-10697,ORD503123,2023-05-31,Not applicable,Not applicable,4600.0,Wrong size,Ops,amount_written_as_negative
RF-10708,RF-10708,ORD509067,2024-01-12,Not applicable,Not applicable,23200.0,Not as pictured,Unknown,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-10744,RF-10744,ORD507362,2023-11-16,Not applicable,Not applicable,31300.0,Wrong size,Support,No issues
RF-10758,RF-10758,ORD526991,2025-06-06,Not applicable,Not applicable,0.0,Changed mind,Auto,No issues
RF-10763,RF-10763,ORD526294,2025-05-13,Not applicable,Not applicable,14200.0,Wrong size,Auto,amount_written_as_negative
RF-10768,RF-10768,ORD500170,2023-02-18,Not applicable,Not applicable,6800.0,Damaged,Auto,amount_written_as_negative
RF-10780,RF-10780,ORD509963,2024-01-21,Not applicable,Not applicable,12100.0,Not as pictured,Ops,amount_written_as_negative
RF-10783,RF-10783,ORD502743,2023-05-31,Not applicable,Not applicable,28400.0,Not as pictured,Auto,No issues
RF-10790,RF-10790,ORD514869,2024-06-04,Not applicable,Not applicable,44200.0,Late delivery,Unknown,refund_date_format_resolved_by_refund_window
RF-10798,RF-10798,ORD512783,2024-04-10,Not applicable,Not applicable,28100.0,Wrong size,Support,No issues
RF-10830,RF-10830,ORD520403,2024-11-29,Not applicable,Not applicable,26400.0,Damaged,Support,No issues
RF-10835,RF-10835,ORD506035,2023-09-09,Not applicable,Not applicable,20100.0,Late delivery,Unknown,amount_written_as_negative
RF-10849,RF-10849,ORD515113,2024-06-24,Not applicable,Not applicable,88400.0,Damaged,Unknown,amount_written_as_negative
RF-10856,RF-10856-1,ORD518074,2024-10-10,Not applicable,Not applicable,2350.0,Wrong size,Auto,"refund_id_shared_with_other_refunds,amount_written_as_negative"
RF-10856,RF-10856-2,ORD508274,2023-12-01,Not applicable,Not applicable,17000.0,Not as pictured,Support,"refund_id_shared_with_other_refunds,refund_date_format_resolved_by_refund_window"
RF-10867,RF-10867,ORD527572,2025-07-01,Not applicable,Not applicable,2550.0,Damaged,Unknown,No issues
RF-10873,RF-10873,ORD518216,2024-10-29,Not applicable,Not applicable,43800.0,Damaged,Unknown,amount_written_as_negative
RF-10876,RF-10876,ORD516088,2024-08-19,Not applicable,Not applicable,144400.0,Wrong size,Auto,No issues
RF-10898,RF-10898,ORD513669,2024-05-26,Not applicable,Not applicable,7200.0,Damaged,Ops,amount_written_as_negative
RF-10902,RF-10902,ORD505889,2023-09-20,Not applicable,Not applicable,76600.0,Wrong size,Unknown,No issues
RF-10905,RF-10905,ORD516272,2024-08-28,Not applicable,Not applicable,47600.0,Changed mind,Auto,amount_written_as_negative
RF-10906,RF-10906,ORD525314,2025-04-18,Not applicable,Not applicable,60700.0,Duplicate order,Auto,amount_written_as_negative
RF-10937,RF-10937,ORD523092,2025-03-03,Not applicable,Not applicable,129700.0,Unknown,Support,No issues
RF-10953,RF-10953,ORD519809,2024-12-08,Not applicable,Not applicable,6300.0,Damaged,Ops,refund_date_format_resolved_by_refund_window
RF-10957,RF-10957,ORD503067,2023-05-10,Not applicable,Not applicable,7350.0,Changed mind,Unknown,amount_written_as_negative
RF-10959,RF-10959,ORD507654,2023-12-19,Not applicable,Not applicable,8500.0,Late delivery,Ops,amount_written_as_negative
RF-10995,RF-10995,ORD515900,2024-07-11,Not applicable,Not applicable,13800.0,Not as pictured,Support,No issues
RF-10998,RF-10998,ORD512950,2024-05-11,Not applicable,Not applicable,5200.0,Unknown,Ops,amount_written_as_negative
RF-11006,RF-11006,ORD506314,2023-10-25,Not applicable,Not applicable,11300.0,Damaged,Auto,No issues
RF-11007,RF-11007,ORD528097,2025-06-13,Not applicable,Not applicable,5200.0,Damaged,Support,amount_written_as_negative
RF-11018,RF-11018,ORD503637,2023-07-06,Not applicable,Not applicable,4100.0,Damaged,Auto,No issues
RF-11035,RF-11035,ORD527726,2025-06-09,Not applicable,Not applicable,78600.0,Wrong size,Unknown,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-11042,RF-11042,ORD517293,2024-09-23,Not applicable,Not applicable,718000.0,Changed mind,Ops,amount_written_as_negative
RF-11043,RF-11043,ORD507370,2023-11-16,Not applicable,Not applicable,15200.0,Wrong size,Support,amount_written_as_negative
RF-11058,RF-11058,ORD521963,2024-12-27,Not applicable,Not applicable,9800.0,Duplicate order,Unknown,No issues
RF-11061,RF-11061,ORD520618,2024-12-17,Not applicable,Not applicable,4300.0,Wrong size,Support,No issues
RF-11072,RF-11072,ORD502512,2023-05-19,Not applicable,Not applicable,21800.0,Not as pictured,Unknown,refund_exceeds_order_value
RF-11075,RF-11075,ORD508368,2023-11-23,Not applicable,Not applicable,27600.0,Wrong size,Support,No issues
RF-11095,RF-11095,ORD503294,2023-06-11,Not applicable,Not applicable,15800.0,Wrong size,Ops,refund_date_format_resolved_by_refund_window
RF-11100,RF-11100,ORD520045,2024-12-11,Not applicable,Not applicable,35700.0,Wrong size,Support,amount_written_as_negative
RF-11101,RF-11101,ORD526005,2025-05-03,Not applicable,Not applicable,64300.0,Changed mind,Support,No issues
RF-11108,RF-11108,ORD521261,2024-12-15,Not applicable,Not applicable,26400.0,Damaged,Auto,No issues
RF-11111,RF-11111,ORD501677,2023-03-29,Not applicable,Not applicable,9150.0,Changed mind,Ops,amount_written_as_negative
RF-11118,RF-11118,ORD524621,2025-03-23,Not applicable,Not applicable,97000.0,Changed mind,Support,No issues
RF-11135,RF-11135,ORD509500,2023-12-23,Not applicable,Not applicable,2300.0,Damaged,Auto,amount_written_as_negative
RF-11144,RF-11144,ORD523221,2025-02-01,Not applicable,Not applicable,8800.0,Not as pictured,Ops,amount_written_as_negative
RF-11147,RF-11147,ORD528853,2025-06-29,Not applicable,Not applicable,2600.0,Late delivery,Support,No issues
RF-11149,RF-11149,ORD510479,2024-01-23,Not applicable,Not applicable,12200.0,Damaged,Auto,amount_written_as_negative
RF-11150,RF-11150,ORD515399,2024-07-03,Not applicable,Not applicable,51400.0,Unknown,Auto,No issues
RF-11157,RF-11157,ORD514236,2024-05-30,Not applicable,Not applicable,4500.0,Wrong size,Support,amount_written_as_negative
RF-11162,RF-11162,ORD509432,2024-01-15,Not applicable,Not applicable,10400.0,Damaged,Auto,amount_written_as_negative
RF-11164,RF-11164,ORD505019,2023-09-04,Not applicable,Not applicable,8100.0,Changed mind,Support,No issues
RF-11170,RF-11170,ORD525412,2025-04-18,Not applicable,Not applicable,27500.0,Not as pictured,Support,amount_written_as_negative
RF-11180,RF-11180,ORD502618,2023-06-01,Not applicable,Not applicable,2550.0,Damaged,Auto,refund_date_format_resolved_by_refund_window
RF-11193,RF-11193,ORD504935,2023-07-31,Not applicable,Not applicable,112200.0,Duplicate order,Support,amount_written_as_negative
RF-11198,RF-11198,ORD521623,2025-01-13,Not applicable,Not applicable,6300.0,Unknown,Support,No issues
RF-11236,RF-11236,ORD500171,2023-01-27,Not applicable,Not applicable,4550.0,Damaged,Support,amount_written_as_negative
RF-11237,RF-11237,ORD521035,2024-12-28,Not applicable,Not applicable,90200.0,Wrong size,Unknown,No issues
RF-11244,RF-11244,ORD524683,2025-03-31,Not applicable,Not applicable,55000.0,Changed mind,Support,amount_written_as_negative
RF-11250,RF-11250,ORD516717,2024-09-14,Not applicable,Not applicable,54300.0,Changed mind,Support,No issues
RF-11267,RF-11267,ORD514349,2024-06-03,Not applicable,Not applicable,14100.0,Damaged,Unknown,amount_written_as_negative
RF-11285,RF-11285,ORD528711,2025-06-29,Not applicable,Not applicable,6400.0,Damaged,Ops,No issues
RF-11292,RF-11292,ORD509419,2024-01-25,Not applicable,Not applicable,13900.0,Not as pictured,Support,No issues
RF-11305,RF-11305,ORD503184,2023-06-16,Not applicable,Not applicable,12100.0,Damaged,Unknown,No issues
RF-11324,RF-11324,ORD526488,2025-05-21,Not applicable,Not applicable,4500.0,Late delivery,Support,amount_written_as_negative
RF-11333,RF-11333,ORD513572,2024-05-23,Not applicable,Not applicable,6300.0,Duplicate order,Unknown,amount_written_as_negative
RF-11338,RF-11338,ORD510205,2024-02-05,Not applicable,Not applicable,5600.0,Wrong size,Auto,No issues
RF-11374,RF-11374,ORD525888,2025-04-29,Not applicable,Not applicable,2700.0,Changed mind,Support,amount_written_as_negative
RF-11380,RF-11380,ORD523285,2025-02-13,Not applicable,Not applicable,29100.0,Changed mind,Support,No issues
RF-11413,RF-11413,ORD516592,2024-09-04,Not applicable,Not applicable,55900.0,Changed mind,Support,refund_date_format_resolved_by_refund_window
RF-11420,RF-11420,ORD515199,2024-07-08,Not applicable,Not applicable,5300.0,Wrong size,Unknown,amount_written_as_negative
RF-11444,RF-11444,ORD525466,2025-04-24,Not applicable,Not applicable,12200.0,Changed mind,Auto,No issues
RF-11459,RF-11459,ORD505946,2023-10-01,Not applicable,Not applicable,1850.0,Not as pictured,Support,No issues
RF-11462,RF-11462,ORD515776,2024-07-23,Not applicable,Not applicable,2800.0,Changed mind,Support,amount_written_as_negative
RF-11466,RF-11466-1,ORD509620,2023-12-27,Not applicable,Not applicable,18000.0,Changed mind,Support,refund_id_shared_with_other_refunds
RF-11466,RF-11466-2,ORD512506,2024-04-17,Not applicable,Not applicable,13800.0,Late delivery,Unknown,"refund_id_shared_with_other_refunds,amount_written_as_negative"
RF-11470,RF-11470,ORD519421,2024-11-05,Not applicable,Not applicable,7500.0,Wrong size,Ops,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-11471,RF-11471,ORD518143,2024-10-14,Not applicable,Not applicable,2800.0,Wrong size,Support,amount_written_as_negative
RF-11478,RF-11478,ORD501995,2023-04-13,Not applicable,Not applicable,46400.0,Not as pictured,Support,No issues
RF-11483,RF-11483,ORD507777,2023-12-05,Not applicable,Not applicable,8800.0,Not as pictured,Support,No issues
RF-11485,RF-11485,ORD503842,2023-07-23,Not applicable,Not applicable,22400.0,Late delivery,Support,No issues
RF-11494,RF-11494,ORD507801,2023-11-14,Not applicable,Not applicable,47400.0,Changed mind,Unknown,No issues
RF-11510,RF-11510,ORD513620,2024-05-26,Not applicable,Not applicable,115500.0,Damaged,Support,amount_written_as_negative
RF-11512,RF-11512,ORD510493,2024-01-29,Not applicable,Not applicable,2450.0,Damaged,Support,No issues
RF-11514,RF-11514,ORD508252,2023-12-31,Not applicable,Not applicable,5300.0,Changed mind,Support,amount_written_as_negative
RF-11525,RF-11525,ORD528194,2025-06-29,Not applicable,Not applicable,2800.0,Changed mind,Auto,amount_written_as_negative
RF-11537,RF-11537,ORD515465,2024-06-25,Not applicable,Not applicable,22400.0,Wrong size,Auto,No issues
RF-11541,RF-11541,ORD518227,2024-09-29,Not applicable,Not applicable,6650.0,Wrong size,Support,amount_written_as_negative
RF-11559,RF-11559,ORD506213,2023-10-09,Not applicable,Not applicable,153000.0,Changed mind,Auto,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-11570,RF-11570,ORD515153,2024-07-12,Not applicable,Not applicable,33400.0,Damaged,Ops,No issues
RF-11571,RF-11571,ORD518262,2024-09-28,Not applicable,Not applicable,25900.0,Wrong size,Auto,No issues
RF-11581,RF-11581,ORD528494,2025-06-20,Not applicable,Not applicable,60200.0,Not as pictured,Support,amount_written_as_negative
RF-11584,RF-11584,ORD508934,2024-01-11,Not applicable,Not applicable,41350.0,Changed mind,Support,No issues
RF-11590,RF-11590,ORD517819,2024-09-29,Not applicable,Not applicable,9500.0,Late delivery,Unknown,amount_written_as_negative
RF-11605,RF-11605,ORD509794,2024-02-04,Not applicable,Not applicable,7700.0,Damaged,Auto,No issues
RF-11606,RF-11606,ORD511896,2024-03-16,Not applicable,Not applicable,3900.0,Wrong size,Support,No issues
RF-11612,RF-11612,ORD522675,2025-02-04,Not applicable,Not applicable,204900.0,Wrong size,Support,amount_written_as_negative
RF-11619,RF-11619,ORD508165,2023-12-08,Not applicable,Not applicable,1250.0,Wrong size,Unknown,refund_date_format_resolved_by_refund_window
RF-11624,RF-11624,ORD517654,2024-09-15,Not applicable,Not applicable,28550.0,Changed mind,Ops,amount_written_as_negative
RF-11640,RF-11640,ORD520372,2024-12-21,Not applicable,Not applicable,2600.0,Changed mind,Auto,No issues
RF-11645,RF-11645,ORD500584,2023-02-13,Not applicable,Not applicable,110600.0,Wrong size,Support,No issues
RF-11646,RF-11646,ORD511145,2024-02-24,Not applicable,Not applicable,1300.0,Changed mind,Unknown,No issues
RF-11672,RF-11672,ORD503508,2023-07-04,Not applicable,Not applicable,12800.0,Not as pictured,Ops,No issues
RF-11742,RF-11742,ORD502289,2023-05-15,Not applicable,Not applicable,53900.0,Not as pictured,Support,No issues
RF-11748,RF-11748,ORD521446,2024-12-30,Not applicable,Not applicable,5400.0,Damaged,Support,amount_written_as_negative
RF-11765,RF-11765,ORD513654,2024-05-03,Not applicable,Not applicable,2700.0,Not as pictured,Auto,refund_date_format_resolved_by_refund_window
RF-11780,RF-11780,ORD526709,2025-05-10,Not applicable,Not applicable,10200.0,Wrong size,Auto,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-11796,RF-11796,ORD500801,2023-03-11,Not applicable,Not applicable,295500.0,Duplicate order,Ops,refund_date_format_resolved_by_refund_window
RF-11808,RF-11808,ORD505500,2023-08-31,Not applicable,Not applicable,215400.0,Changed mind,Support,No issues
RF-11813,RF-11813,ORD518604,2024-10-23,Not applicable,Not applicable,2600.0,Damaged,Unknown,amount_written_as_negative
RF-11827,RF-11827,ORD503318,2023-06-02,Not applicable,Not applicable,31600.0,Damaged,Support,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-11837,RF-11837,ORD513689,2024-05-25,Not applicable,Not applicable,33100.0,Changed mind,Auto,No issues
RF-11844,RF-11844,ORD524597,2025-03-15,Not applicable,Not applicable,11400.0,Changed mind,Support,No issues
RF-11847,RF-11847,ORD517254,2024-09-21,Not applicable,Not applicable,10400.0,Unknown,Unknown,amount_written_as_negative
RF-11862,RF-11862,ORD523105,2025-01-24,Not applicable,Not applicable,12000.0,Duplicate order,Unknown,No issues
RF-11865,RF-11865,ORD507823,2023-12-11,Not applicable,Not applicable,8800.0,Wrong size,Ops,amount_written_as_negative
RF-11882,RF-11882,ORD505312,2023-08-24,Not applicable,Not applicable,11050.0,Damaged,Auto,amount_written_as_negative
RF-11883,RF-11883,ORD504208,2023-07-02,Not applicable,Not applicable,11300.0,Wrong size,Unknown,amount_written_as_negative
RF-11885,RF-11885,ORD510587,2024-02-28,Not applicable,Not applicable,15400.0,Damaged,Unknown,amount_written_as_negative
RF-11890,RF-11890,ORD508237,2023-12-28,Not applicable,Not applicable,7600.0,Changed mind,Auto,No issues
RF-11895,RF-11895,ORD507695,2023-11-11,Not applicable,Not applicable,1250.0,Changed mind,Support,No issues
RF-11898,RF-11898,ORD527899,2025-07-05,Not applicable,Not applicable,12800.0,Damaged,Unknown,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-11899,RF-11899,ORD513828,2024-06-05,Not applicable,Not applicable,73000.0,Damaged,Support,amount_written_as_negative
RF-11921,RF-11921,ORD526513,2025-05-17,Not applicable,Not applicable,37000.0,Damaged,Unknown,No issues
RF-11923,RF-11923,ORD503639,2023-06-17,Not applicable,Not applicable,38500.0,Duplicate order,Support,"amount_written_as_negative,refund_exceeds_order_value"
RF-11930,RF-11930,ORD509221,2023-12-26,Not applicable,Not applicable,13900.0,Damaged,Ops,amount_written_as_negative
RF-11940,RF-11940,ORD528240,2025-07-09,Not applicable,Not applicable,10600.0,Late delivery,Support,No issues
RF-11952,RF-11952,ORD503067,2023-06-04,Not applicable,Not applicable,1950.0,Unknown,Support,No issues
RF-11963,RF-11963,ORD514510,2024-06-30,Not applicable,Not applicable,28200.0,Damaged,Support,amount_written_as_negative
RF-11971,RF-11971-1,ORD507143,2023-10-29,Not applicable,Not applicable,6500.0,Unknown,Support,"refund_id_shared_with_other_refunds,amount_written_as_negative"
RF-11971,RF-11971-2,ORD523846,2025-03-07,Not applicable,Not applicable,8100.0,Changed mind,Support,refund_id_shared_with_other_refunds
RF-11972,RF-11972,ORD525291,2025-04-29,Not applicable,Not applicable,23900.0,Changed mind,Support,No issues
RF-11978,RF-11978,ORD514164,2024-06-06,Not applicable,Not applicable,33500.0,Wrong size,Ops,No issues
RF-11984,RF-11984,ORD510308,2024-01-14,Not applicable,Not applicable,5600.0,Duplicate order,Ops,No issues
RF-12000,RF-12000,ORD500723,2023-02-08,Not applicable,Not applicable,2000.0,Damaged,Support,No issues
RF-12003,RF-12003,ORD523363,2025-02-18,Not applicable,Not applicable,12000.0,Late delivery,Unknown,No issues
RF-12004,RF-12004,ORD504614,2023-08-06,Not applicable,Not applicable,2400.0,Damaged,Ops,No issues
RF-12022,RF-12022,ORD509649,2024-01-27,Not applicable,Not applicable,32000.0,Not as pictured,Auto,amount_written_as_negative
RF-12033,RF-12033,ORD523960,2025-03-30,Not applicable,Not applicable,9800.0,Changed mind,Support,amount_written_as_negative
RF-12042,RF-12042,ORD525557,2025-04-21,Not applicable,Not applicable,4500.0,Unknown,Unknown,amount_written_as_negative
RF-12047,RF-12047,ORD507854,2023-11-15,Not applicable,Not applicable,2350.0,Damaged,Unknown,No issues
RF-12051,RF-12051,ORD507043,2023-11-23,Not applicable,Not applicable,64500.0,Damaged,Ops,amount_written_as_negative
RF-12085,RF-12085,ORD524522,2025-03-07,Not applicable,Not applicable,4500.0,Wrong size,Auto,refund_date_format_resolved_by_refund_window
RF-12106,RF-12106,ORD524190,2025-03-05,Not applicable,Not applicable,31000.0,Changed mind,Support,amount_written_as_negative
RF-12128,RF-12128,ORD519285,2024-11-15,Not applicable,Not applicable,9600.0,Unknown,Support,No issues
RF-12134,RF-12134,ORD509682,2023-12-23,Not applicable,Not applicable,8300.0,Damaged,Unknown,amount_written_as_negative
RF-12137,RF-12137,ORD500086,2023-01-08,Not applicable,Not applicable,58400.0,Wrong size,Support,amount_written_as_negative
RF-12162,RF-12162,ORD501070,2023-03-14,Not applicable,Not applicable,21400.0,Not as pictured,Unknown,No issues
RF-12185,RF-12185,ORD505264,2023-09-15,Not applicable,Not applicable,21000.0,Changed mind,Support,"amount_written_as_negative,refund_exceeds_order_value"
RF-12197,RF-12197,ORD509153,2023-12-17,Not applicable,Not applicable,44000.0,Damaged,Ops,No issues
RF-12207,RF-12207,ORD528693,2025-07-06,Not applicable,Not applicable,13300.0,Changed mind,Ops,refund_date_format_resolved_by_refund_window
RF-12215,RF-12215,ORD501903,2023-04-15,Not applicable,Not applicable,19800.0,Wrong size,Unknown,amount_written_as_negative
RF-12217,RF-12217,ORD509630,2024-01-15,Not applicable,Not applicable,54300.0,Changed mind,Auto,amount_written_as_negative
RF-12231,RF-12231,ORD523880,2025-02-20,Not applicable,Not applicable,38600.0,Wrong size,Ops,No issues
RF-12244,RF-12244,ORD520288,2024-12-07,Not applicable,Not applicable,56200.0,Not as pictured,Ops,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-12247,RF-12247-1,ORD522552,2025-01-29,Not applicable,Not applicable,19800.0,Wrong size,Support,refund_id_shared_with_other_refunds
RF-12247,RF-12247-2,ORD526850,2025-06-09,Not applicable,Not applicable,187500.0,Changed mind,Support,"refund_id_shared_with_other_refunds,refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-12265,RF-12265,ORD514894,2024-06-13,Not applicable,Not applicable,20600.0,Damaged,Support,amount_written_as_negative
RF-12272,RF-12272,ORD503558,2023-05-29,Not applicable,Not applicable,22100.0,Not as pictured,Auto,"amount_written_as_negative,refund_exceeds_order_value"
RF-12291,RF-12291,ORD502220,2023-04-16,Not applicable,Not applicable,29000.0,Late delivery,Auto,amount_written_as_negative
RF-12293,RF-12293,ORD528918,2025-07-21,Not applicable,Not applicable,23950.0,Wrong size,Unknown,No issues
RF-12302,RF-12302,ORD510789,2024-02-13,Not applicable,Not applicable,0.0,Not as pictured,Unknown,No issues
