sku,product_name,category,collection,colour,size_run,unit_cost_ngn,list_price_ngn,valid_from,valid_to,is_current,active,dq_flags
XT-LEN-034,Anniversary ’05 Lens Cloth,Lens Cloth,Anniversary ’05,Forest,S-XXL,1300.0,5300.0,2024-08-24,2025-03-24,False,False,No issues
XT-LEN-034,Anniversary ’05 Lens Cloth,Lens Cloth,Anniversary ’05,Forest,S-XXL,1300.0,5800.0,2025-03-25,9999-12-31,True,True,"collection_filled_from_same_sku,stated_valid_to_2025-11-21_extended"
XT-LEN-039,Behind The Lens Lens Cloth,Lens Cloth,Behind The Lens,Navy,S-XXL,1900.0,5200.0,2022-11-30,2023-10-05,False,False,No issues
XT-LEN-039,Behind The Lens Lens Cloth,Lens Cloth,Behind The Lens,Navy,One Size,1900.0,5500.0,2023-10-06,9999-12-31,True,True,stated_valid_to_2024-06-04_extended
XT-LIM-002,Harmattan Drop Limited Print,Limited Print,Harmattan Drop,Sand,Unknown,50600.0,113400.0,2022-09-21,2023-10-19,False,False,unit_cost_ngn_filled_from_same_sku
XT-LIM-002,Harmattan Drop Limited Print,Limited Print,Harmattan Drop,Sand,S-XXL,50600.0,140700.0,2023-10-20,9999-12-31,True,True,stated_valid_to_2024-08-10_extended
XT-LIM-011,Lagos Nights Limited Print,Limited Print,Lagos Nights,Rust,Unknown,21800.0,57600.0,2022-09-13,2023-06-18,False,False,No issues
XT-LIM-011,Lagos Nights Limited Print,Limited Print,Lagos Nights,Rust,S-XXL,21800.0,62300.0,2023-06-19,2024-08-12,False,False,gap_to_next_version_bridged
XT-LIM-011,Lagos Nights Limited Print,Limited Print,Lagos Nights,Rust,S-XXL,21800.0,75700.0,2024-08-13,2025-07-25,False,False,No issues
XT-LIM-011,Lagos Nights Limited Print,Limited Print,Lagos Nights,Rust,One Size,21800.0,79700.0,2025-07-26,9999-12-31,True,True,"unit_cost_ngn_filled_from_same_sku,stated_valid_to_2025-11-28_extended"
XT-LIM-021,Golden Hour Limited Print,Limited Print,Golden Hour,Bone,S-XXL,46300.0,97300.0,2022-10-25,2023-10-15,False,False,No issues
XT-LIM-021,Golden Hour Limited Print,Limited Print,Golden Hour,Bone,S-XXL,46300.0,122800.0,2023-10-16,2024-04-09,False,False,No issues
XT-LIM-021,Golden Hour Limited Print,Limited Print,Golden Hour,Bone,One Size,46300.0,143500.0,2024-04-10,9999-12-31,True,True,"category_filled_from_same_sku,stated_valid_to_2024-08-25_extended"
XT-LIM-036,Anniversary ’05 Limited Print,Limited Print,Anniversary ’05,Off-White,S-XXL,18300.0,54600.0,2022-09-09,2023-03-13,False,False,No issues
XT-LIM-036,Anniversary ’05 Limited Print,Limited Print,Anniversary ’05,Off-White,S-XXL,18300.0,64600.0,2023-03-14,9999-12-31,True,True,"unit_cost_ngn_filled_from_same_sku,stated_valid_to_2023-08-10_extended"
XT-LIM-045,Behind The Lens Limited Print,Limited Print,Behind The Lens,Navy,S-XXL,27200.0,71300.0,2022-11-14,2023-10-26,False,False,No issues
XT-LIM-045,Behind The Lens Limited Print,Limited Print,Behind The Lens,Navy,S-XXL,27200.0,85200.0,2023-10-27,2024-06-07,False,False,gap_to_next_version_bridged
XT-LIM-045,Behind The Lens Limited Print,Limited Print,Behind The Lens,Navy,One Size,27200.0,115000.0,2024-06-08,9999-12-31,True,True,"colour_filled_from_same_sku,stated_valid_to_2025-06-24_extended"
XT-MUG-003,Harmattan Drop Mug,Mug,Harmattan Drop,Black,Unknown,4800.0,9000.0,2022-12-07,2024-02-01,False,False,gap_to_next_version_bridged
XT-MUG-003,Harmattan Drop Mug,Mug,Harmattan Drop,Black,S-XXL,4800.0,11000.0,2024-02-02,2024-02-25,False,False,open_window_closed_by_next_version
XT-MUG-003,Harmattan Drop Mug,Mug,Harmattan Drop,Black,One Size,4800.0,14500.0,2024-02-26,9999-12-31,True,True,stated_valid_to_2024-08-02_extended
XT-MUG-018,35mm Club Mug,Mug,35mm Club,Navy,S-XXL,2900.0,6600.0,2022-12-18,2023-07-10,False,False,No issues
XT-MUG-018,35mm Club Mug,Mug,35mm Club,Navy,S-XXL,2900.0,7000.0,2023-07-11,9999-12-31,True,True,"colour_filled_from_same_sku,stated_valid_to_2023-12-05_extended"
XT-MUG-035,Anniversary ’05 Mug,Mug,Anniversary ’05,Off-White,One Size,3200.0,7400.0,2022-10-12,2023-07-09,False,False,"collection_filled_from_same_sku,colour_filled_from_same_sku"
XT-MUG-035,Anniversary ’05 Mug,Mug,Anniversary ’05,Off-White,One Size,3200.0,9700.0,2023-07-10,2024-02-16,False,False,overlap_trimmed
XT-MUG-035,Anniversary ’05 Mug,Mug,Anniversary ’05,Off-White,S-XXL,3200.0,10900.0,2024-02-17,9999-12-31,True,True,stated_valid_to_2024-11-26_extended
XT-MUG-041,Behind The Lens Mug,Mug,Behind The Lens,Rust,One Size,2800.0,7300.0,2022-10-15,2023-09-23,False,False,No issues
XT-MUG-041,Behind The Lens Mug,Mug,Behind The Lens,Rust,One Size,2800.0,8700.0,2023-09-24,9999-12-31,True,True,"colour_filled_from_same_sku,stated_valid_to_2024-07-23_extended"
XT-OVE-012,35mm Club Oversized Tee,Oversized Tee,35mm Club,Forest,S-XXL,9900.0,27300.0,2022-11-21,2023-05-26,False,False,No issues
XT-OVE-012,35mm Club Oversized Tee,Oversized Tee,35mm Club,Forest,S-XXL,9900.0,35300.0,2023-05-27,2024-06-20,False,False,unit_cost_ngn_filled_from_same_sku
XT-OVE-012,35mm Club Oversized Tee,Oversized Tee,35mm Club,Forest,S-XXL,9900.0,44900.0,2024-06-21,9999-12-31,True,True,"unit_cost_ngn_filled_from_same_sku,window_inverted_swapped,stated_valid_to_2025-07-01_extended"
XT-OVE-042,Behind The Lens Oversized Tee,Oversized Tee,Behind The Lens,Black,One Size,6500.0,20200.0,2022-09-10,2023-08-07,False,False,No issues
XT-OVE-042,Behind The Lens Oversized Tee,Oversized Tee,Behind The Lens,Black,One Size,6500.0,24800.0,2023-08-08,2025-01-01,False,False,"colour_filled_from_same_sku,window_inverted_swapped,gap_to_next_version_bridged"
XT-OVE-042,Behind The Lens Oversized Tee,Oversized Tee,Behind The Lens,Black,S-XXL,6500.0,28000.0,2025-01-02,9999-12-31,True,True,No issues
XT-POS-006,Harmattan Drop Poster A2,Poster A2,Harmattan Drop,Forest,S-XXL,5500.0,12000.0,2022-11-19,2023-06-02,False,False,overlap_trimmed
XT-POS-006,Harmattan Drop Poster A2,Poster A2,Harmattan Drop,Forest,S-XXL,5500.0,14700.0,2023-06-03,9999-12-31,True,True,stated_valid_to_2024-01-06_extended
XT-POS-015,35mm Club Poster A2,Poster A2,35mm Club,Forest,S-XXL,5300.0,11300.0,2022-11-24,2023-08-30,False,False,colour_filled_from_same_sku
XT-POS-015,35mm Club Poster A2,Poster A2,35mm Club,Forest,One Size,5300.0,14000.0,2023-08-31,9999-12-31,True,True,stated_valid_to_2024-08-09_extended
XT-POS-020,Golden Hour Poster A2,Poster A2,Golden Hour,Off-White,S-XXL,7600.0,14300.0,2022-10-15,2023-10-10,False,False,No issues
XT-POS-020,Golden Hour Poster A2,Poster A2,Golden Hour,Off-White,S-XXL,7600.0,16100.0,2023-10-11,2024-07-08,False,False,"unit_cost_ngn_filled_from_same_sku,gap_to_next_version_bridged"
XT-POS-020,Golden Hour Poster A2,Poster A2,Golden Hour,Off-White,S-XXL,7600.0,20200.0,2024-07-09,9999-12-31,True,True,"colour_filled_from_same_sku,stated_valid_to_2025-08-23_extended"
XT-POS-027,Studio Basics Poster A2,Poster A2,Studio Basics,Rust,S-XXL,5500.0,10400.0,2022-12-28,2023-04-21,False,False,overlap_trimmed
XT-POS-027,Studio Basics Poster A2,Poster A2,Studio Basics,Rust,Unknown,5500.0,13100.0,2023-04-22,2023-10-02,False,False,No issues
XT-POS-027,Studio Basics Poster A2,Poster A2,Studio Basics,Rust,Unknown,5500.0,13900.0,2023-10-03,9999-12-31,True,True,stated_valid_to_2024-03-02_extended
XT-STI-010,Lagos Nights Sticker Pack,Sticker Pack,Lagos Nights,Black,S-XXL,1700.0,3700.0,2022-12-27,2023-08-12,False,False,No issues
XT-STI-010,Lagos Nights Sticker Pack,Sticker Pack,Lagos Nights,Black,S-XXL,1700.0,4700.0,2023-08-13,9999-12-31,True,True,stated_valid_to_2024-06-04_extended
XT-STI-013,35mm Club Sticker Pack,Sticker Pack,35mm Club,Bone,One Size,800.0,2200.0,2022-11-16,2023-07-10,False,False,"window_inverted_swapped,overlap_trimmed"
XT-STI-013,35mm Club Sticker Pack,Sticker Pack,35mm Club,Bone,One Size,800.0,2500.0,2023-07-11,9999-12-31,True,True,No issues
XT-STI-026,Golden Hour Sticker Pack,Sticker Pack,Golden Hour,Forest,One Size,1700.0,4300.0,2022-11-20,2023-08-24,False,False,overlap_trimmed
XT-STI-026,Golden Hour Sticker Pack,Sticker Pack,Golden Hour,Forest,S-XXL,1700.0,5100.0,2023-08-25,2024-06-15,False,False,No issues
XT-STI-026,Golden Hour Sticker Pack,Sticker Pack,Golden Hour,Forest,One Size,1700.0,5700.0,2024-06-16,2025-10-02,False,False,gap_to_next_version_bridged
XT-STI-026,Golden Hour Sticker Pack,Sticker Pack,Golden Hour,Forest,Unknown,1700.0,7200.0,2025-10-03,9999-12-31,True,True,No issues
XT-STI-032,Studio Basics Sticker Pack,Sticker Pack,Studio Basics,Forest,S-XXL,700.0,2000.0,2022-11-16,2023-12-12,False,False,No issues
XT-STI-032,Studio Basics Sticker Pack,Sticker Pack,Studio Basics,Forest,One Size,700.0,2300.0,2023-12-13,9999-12-31,True,True,"collection_filled_from_same_sku,stated_valid_to_2024-06-20_extended"
XT-STI-033,Anniversary ’05 Sticker Pack,Sticker Pack,Anniversary ’05,Navy,S-XXL,1700.0,4100.0,2022-11-07,2023-09-16,False,False,No issues
XT-STI-033,Anniversary ’05 Sticker Pack,Sticker Pack,Anniversary ’05,Navy,S-XXL,1700.0,5000.0,2023-09-17,2024-09-16,False,False,"category_filled_from_same_sku,collection_filled_from_same_sku"
XT-STI-033,Anniversary ’05 Sticker Pack,Sticker Pack,Anniversary ’05,Navy,Unknown,1700.0,5400.0,2024-09-17,2025-03-14,False,False,window_inverted_swapped
XT-STI-033,Anniversary ’05 Sticker Pack,Sticker Pack,Anniversary ’05,Navy,One Size,1700.0,7100.0,2025-03-15,9999-12-31,True,True,No issues
XT-STI-044,Behind The Lens Sticker Pack,Sticker Pack,Behind The Lens,Black,S-XXL,1400.0,3300.0,2022-09-03,2023-01-05,False,False,No issues
XT-STI-044,Behind The Lens Sticker Pack,Sticker Pack,Behind The Lens,Black,S-XXL,1400.0,4000.0,2023-01-06,9999-12-31,True,True,"category_filled_from_same_sku,unit_cost_ngn_filled_from_same_sku,stated_valid_to_2024-01-21_extended"
XT-TEE-017,35mm Club Tee,Tee,35mm Club,Navy,One Size,8700.0,20000.0,2022-10-04,2023-03-29,False,False,No issues
XT-TEE-017,35mm Club Tee,Tee,35mm Club,Navy,One Size,8700.0,21900.0,2023-03-30,2023-12-03,False,False,No issues
XT-TEE-017,35mm Club Tee,Tee,35mm Club,Navy,S-XXL,8700.0,25500.0,2023-12-04,9999-12-31,True,True,"category_filled_from_same_sku,collection_filled_from_same_sku,stated_valid_to_2024-06-11_extended"
XT-TEE-022,Golden Hour Tee,Tee,Golden Hour,Rust,One Size,9100.0,19000.0,2022-09-08,2023-05-05,False,False,open_window_closed_by_next_version
XT-TEE-022,Golden Hour Tee,Tee,Golden Hour,Rust,One Size,9100.0,25300.0,2023-05-06,2024-01-07,False,False,gap_to_next_version_bridged
XT-TEE-022,Golden Hour Tee,Tee,Golden Hour,Rust,S-XXL,9100.0,33000.0,2024-01-08,9999-12-31,True,True,"collection_filled_from_same_sku,stated_valid_to_2024-12-22_extended"
XT-TEE-030,Studio Basics Tee,Tee,Studio Basics,Sand,S-XXL,7000.0,16600.0,2022-11-04,2023-08-01,False,False,collection_taken_from_product_name
XT-TEE-030,Studio Basics Tee,Tee,Studio Basics,Sand,S-XXL,7000.0,22300.0,2023-08-02,9999-12-31,True,True,"collection_taken_from_product_name,stated_valid_to_2024-03-27_extended"
XT-TEE-038,Anniversary ’05 Tee,Tee,Anniversary ’05,Rust,Unknown,6900.0,17600.0,2022-09-08,2022-12-12,False,False,open_window_closed_by_next_version
XT-TEE-038,Anniversary ’05 Tee,Tee,Anniversary ’05,Rust,S-XXL,6900.0,23600.0,2022-12-13,2023-12-02,False,False,"collection_filled_from_same_sku,unit_cost_ngn_filled_from_same_sku"
XT-TEE-038,Anniversary ’05 Tee,Tee,Anniversary ’05,Rust,Unknown,6900.0,30400.0,2023-12-03,2024-07-30,False,False,collection_filled_from_same_sku
XT-TEE-038,Anniversary ’05 Tee,Tee,Anniversary ’05,Rust,S-XXL,6900.0,39500.0,2024-07-31,9999-12-31,True,True,No issues
XT-TEE-040,Behind The Lens Tee,Tee,Behind The Lens,Rust,S-XXL,9600.0,20700.0,2022-11-08,2023-08-09,False,False,collection_filled_from_same_sku
XT-TEE-040,Behind The Lens Tee,Tee,Behind The Lens,Rust,Unknown,9600.0,21900.0,2023-08-10,2024-08-13,False,False,No issues
XT-TEE-040,Behind The Lens Tee,Tee,Behind The Lens,Rust,S-XXL,9600.0,29300.0,2024-08-14,2025-09-20,False,False,open_window_closed_by_next_version
XT-TEE-040,Behind The Lens Tee,Tee,Behind The Lens,Rust,S-XXL,9600.0,31800.0,2025-09-21,9999-12-31,True,True,"window_inverted_swapped,stated_valid_to_2026-05-14_extended"
XT-TOT-004,Harmattan Drop Tote Bag,Tote Bag,Harmattan Drop,Forest,One Size,3600.0,10500.0,2022-11-06,2023-09-24,False,False,No issues
XT-TOT-004,Harmattan Drop Tote Bag,Tote Bag,Harmattan Drop,Forest,S-XXL,3600.0,11100.0,2023-09-25,2024-08-12,False,False,unit_cost_ngn_filled_from_same_sku
XT-TOT-004,Harmattan Drop Tote Bag,Tote Bag,Harmattan Drop,Forest,Unknown,3600.0,14100.0,2024-08-13,9999-12-31,True,True,stated_valid_to_2025-08-14_extended
XT-TOT-008,Lagos Nights Tote Bag,Tote Bag,Lagos Nights,Sand,S-XXL,2600.0,7700.0,2022-09-05,2023-06-24,False,False,window_inverted_swapped
XT-TOT-008,Lagos Nights Tote Bag,Tote Bag,Lagos Nights,Sand,One Size,2600.0,8100.0,2023-06-25,9999-12-31,True,True,"colour_filled_from_same_sku,stated_valid_to_2024-02-08_extended"
XT-TOT-023,Golden Hour Tote Bag,Tote Bag,Golden Hour,Rust,S-XXL,3700.0,11500.0,2022-10-05,2023-06-16,False,False,No issues
XT-TOT-023,Golden Hour Tote Bag,Tote Bag,Golden Hour,Rust,One Size,3700.0,15300.0,2023-06-17,2024-06-03,False,False,No issues
XT-TOT-023,Golden Hour Tote Bag,Tote Bag,Golden Hour,Rust,Unknown,3700.0,19000.0,2024-06-04,9999-12-31,True,True,stated_valid_to_2024-10-13_extended
