timesheet_id,booking_id,crew_id,work_date,hours_worked,role_on_job,day_rate_charged_ngn,overtime,approved_by,dq_flags
75,BK-01009,CR-00040,2023-01-09,8.0,Gaffer,102000.0,False,Unknown,No issues
76,BK-01009,CR-00079,2023-01-08,12.0,Sound Recordist,222000.0,False,Ops Manager,No issues
77,BK-01009,CR-00079,2023-01-09,10.0,Sound Recordist,Unknown,False,Unknown,day_rate_missing
78,BK-01009,CR-00077,2023-01-08,14.0,Art Director,196000.0,True,Tunde Adeyemi,hours_above_12h_cap
79,BK-01009,CR-00077,2023-01-09,9.0,Art Director,196000.0,False,Tunde Adeyemi,No issues
80,BK-01010,CR-00023,2023-01-12,8.0,Camera Operator,237000.0,False,Tunde Adeyemi,No issues
81,BK-01010,CR-00092,2023-01-12,8.0,Drone Operator,Unknown,False,Ngozi Okafor,day_rate_missing
82,BK-01010,CR-00065,2023-01-12,9.0,Production Assistant,40000.0,False,Tunde Adeyemi,No issues
83,BK-01010,CR-00096,2023-01-12,12.0,Production Assistant,18500.0,False,Ngozi Okafor,No issues
84,BK-01010,CR-00002,2023-01-12,10.0,Grip,76000.0,False,Tunde Adeyemi,No issues
85,BK-01010,CR-00017,2023-01-12,14.0,Editor,178000.0,True,Ngozi Okafor,hours_above_12h_cap
86,BK-01011,CR-00074,2023-01-12,8.0,Camera Operator,174000.0,False,Ops Manager,No issues
87,BK-01011,CR-00089,2023-01-12,10.0,Art Director,190500.0,False,Ops Manager,No issues
88,BK-01011,CR-00034,2023-01-12,12.0,Production Assistant,37000.0,False,Ops Manager,No issues
89,BK-01011,CR-00062,2023-01-12,10.0,Grip,29500.0,False,Ops Manager,No issues
90,BK-01011,CR-00122,2023-01-12,10.0,Editor,219000.0,False,Unknown,No issues
91,BK-01011,CR-00138,2023-01-12,9.0,Gaffer,71000.0,False,Unknown,No issues
92,BK-01012,CR-00073,2023-01-12,8.0,Drone Operator,184000.0,False,Tunde Adeyemi,No issues
94,BK-01012,CR-00011,2023-01-12,10.0,Production Assistant,37500.0,False,Ngozi Okafor,No issues
95,BK-01012,CR-00070,2023-01-12,6.0,Camera Operator,160000.0,False,Tunde Adeyemi,No issues
96,BK-01012,CR-00001,2023-01-12,6.0,Art Director,78000.0,False,Unknown,No issues
97,BK-01012,CR-00122,2023-01-12,9.0,Editor,328500.0,False,Ops Manager,No issues
98,BK-01012,CR-00072,2023-01-12,8.0,Sound Recordist,180000.0,False,Tunde Adeyemi,No issues
99,BK-01012,CR-00052,2023-01-12,9.0,Sound Recordist,57500.0,False,Unknown,role_filled_from_crew_roster
100,BK-01013,CR-00112,2023-01-17,8.0,Sound Recordist,87000.0,False,Ops Manager,No issues
101,BK-01013,CR-00034,2023-01-17,9.0,Production Assistant,55500.0,False,Ngozi Okafor,No issues
102,BK-01013,CR-00125,2023-01-17,9.0,Art Director,205000.0,False,Ngozi Okafor,No issues
103,BK-01013,CR-00046,2023-01-17,6.0,Director of Photography,552000.0,False,Tunde Adeyemi,No issues
104,BK-01013,CR-00009,2023-01-17,8.0,Drone Operator,142000.0,False,Tunde Adeyemi,No issues
105,BK-01013,CR-00020,2023-01-17,8.0,Drone Operator,214500.0,False,Ngozi Okafor,No issues
106,BK-01013,CR-00023,2023-01-17,14.0,Camera Operator,79000.0,True,Ngozi Okafor,hours_above_12h_cap
107,BK-01013,CR-00053,2023-01-17,10.0,Colorist,102000.0,False,Ngozi Okafor,No issues
108,BK-01015,CR-00122,2023-01-24,8.0,Editor,219000.0,False,Tunde Adeyemi,No issues
109,BK-01015,CR-00058,2023-01-24,8.0,Drone Operator,170000.0,False,Tunde Adeyemi,No issues
110,BK-01015,CR-00039,2023-01-24,12.0,Editor,215000.0,False,Ngozi Okafor,No issues
111,BK-01015,CR-00013,2023-01-24,14.0,Director of Photography,410000.0,True,Unknown,hours_above_12h_cap
112,BK-01016,CR-00075,2023-01-26,8.0,Grip,Unknown,False,Ngozi Okafor,day_rate_missing
113,BK-01016,CR-00075,2023-01-27,6.0,Grip,81000.0,False,Ops Manager,No issues
114,BK-01016,CR-00043,2023-01-26,8.0,Colorist,420000.0,False,Unknown,role_filled_from_crew_roster
115,BK-01016,CR-00043,2023-01-27,9.0,Colorist,280000.0,False,Tunde Adeyemi,No issues
116,BK-01016,CR-00006,2023-01-26,12.0,Grip,66000.0,False,Unknown,No issues
117,BK-01016,CR-00006,2023-01-27,8.0,Grip,66000.0,False,Ngozi Okafor,No issues
118,BK-01016,CR-00091,2023-01-26,9.0,Drone Operator,238000.0,False,Ngozi Okafor,No issues
119,BK-01016,CR-00091,2023-01-27,10.0,Drone Operator,238000.0,False,Ops Manager,No issues
120,BK-01017,CR-00028,2023-01-26,8.0,Colorist,287000.0,False,Ngozi Okafor,No issues
122,BK-01017,CR-00108,2023-01-26,14.0,Editor,231000.0,True,Ngozi Okafor,"hours_above_12h_cap,role_filled_from_crew_roster"
123,BK-01017,CR-00060,2023-01-26,9.0,Colorist,154000.0,False,Ngozi Okafor,No issues
124,BK-01017,CR-00041,2023-01-26,8.0,Colorist,273000.0,False,Tunde Adeyemi,No issues
125,BK-01018,CR-00108,2023-01-26,12.0,Editor,154000.0,False,Unknown,No issues
126,BK-01018,CR-00057,2023-01-26,10.0,Colorist,267000.0,False,Tunde Adeyemi,No issues
127,BK-01018,CR-00103,2023-01-26,14.0,Sound Recordist,187500.0,True,Ngozi Okafor,hours_above_12h_cap
128,BK-01019,CR-00052,2023-01-26,8.0,Sound Recordist,115000.0,False,Ngozi Okafor,No issues
129,BK-01019,CR-00100,2023-01-26,10.0,Camera Operator,124000.0,False,Ngozi Okafor,No issues
130,BK-01019,CR-00027,2023-01-26,9.0,Production Assistant,63000.0,False,Ops Manager,No issues
131,BK-01019,CR-00121,2023-01-26,8.0,Art Director,229500.0,False,Unknown,No issues
132,BK-01020,CR-00138,2023-01-29,8.0,Gaffer,71000.0,False,Tunde Adeyemi,No issues
133,BK-01020,CR-00128,2023-01-29,8.0,Director of Photography,286000.0,False,Ngozi Okafor,No issues
134,BK-01020,CR-00085,2023-01-29,8.0,Gaffer,68500.0,False,Unknown,No issues
135,BK-01020,CR-00139,2023-01-29,9.0,Director of Photography,243000.0,False,Unknown,No issues
136,BK-01020,CR-00136,2023-01-29,12.0,Camera Operator,153000.0,False,Tunde Adeyemi,No issues
137,BK-01020,CR-00122,2023-01-29,9.0,Editor,328500.0,False,Ngozi Okafor,No issues
138,BK-01020,CR-00013,2023-01-29,8.0,Director of Photography,410000.0,False,Ngozi Okafor,No issues
139,BK-01020,CR-00050,2023-01-29,8.0,Director of Photography,261000.0,False,Tunde Adeyemi,No issues
140,BK-01021,CR-00040,2023-01-30,14.0,Gaffer,102000.0,True,Tunde Adeyemi,hours_above_12h_cap
141,BK-01021,CR-00040,2023-01-31,8.0,Gaffer,153000.0,False,Unknown,No issues
142,BK-01021,CR-00110,2023-01-30,9.0,Camera Operator,120000.0,False,Tunde Adeyemi,No issues
143,BK-01021,CR-00110,2023-01-31,12.0,Camera Operator,180000.0,False,Tunde Adeyemi,No issues
144,BK-01021,CR-00107,2023-01-30,9.0,Editor,62000.0,False,Unknown,No issues
145,BK-01021,CR-00107,2023-01-31,12.0,Editor,124000.0,False,Tunde Adeyemi,No issues
146,BK-01021,CR-00067,2023-01-30,8.0,Gaffer,61000.0,False,Ops Manager,No issues
147,BK-01021,CR-00067,2023-01-31,8.0,Gaffer,122000.0,False,Ngozi Okafor,role_filled_from_crew_roster
148,BK-01021,CR-00119,2023-01-30,12.0,Art Director,119000.0,False,Ops Manager,No issues
149,BK-01021,CR-00119,2023-01-31,10.0,Art Director,119000.0,False,Ngozi Okafor,No issues
150,BK-01021,CR-00006,2023-01-30,14.0,Grip,66000.0,True,Tunde Adeyemi,hours_above_12h_cap
151,BK-01021,CR-00006,2023-01-31,8.0,Grip,Unknown,False,Ngozi Okafor,day_rate_missing
152,BK-01021,CR-00131,2023-01-30,14.0,Director of Photography,295000.0,True,Tunde Adeyemi,hours_above_12h_cap
153,BK-01021,CR-00131,2023-01-31,Unknown,Director of Photography,147500.0,False,Ngozi Okafor,hours_missing
154,BK-01021,CR-00127,2023-01-30,6.0,Sound Recordist,143000.0,False,Ngozi Okafor,No issues
155,BK-01021,CR-00127,2023-01-31,8.0,Sound Recordist,143000.0,False,Ngozi Okafor,No issues
156,BK-01022,CR-00111,2023-01-30,10.0,Art Director,135000.0,False,Tunde Adeyemi,No issues
157,BK-01022,CR-00111,2023-01-31,6.0,Art Director,135000.0,False,Tunde Adeyemi,No issues
158,BK-01022,CR-00053,2023-01-30,14.0,Colorist,204000.0,True,Ngozi Okafor,hours_above_12h_cap
159,BK-01022,CR-00053,2023-01-31,14.0,Colorist,306000.0,True,Ngozi Okafor,hours_above_12h_cap
160,BK-01022,CR-00012,2023-01-30,Unknown,Production Assistant,13500.0,True,Ngozi Okafor,"hours_missing,role_filled_from_crew_roster"
161,BK-01022,CR-00012,2023-01-31,10.0,Production Assistant,27000.0,False,Ngozi Okafor,No issues
162,BK-01023,CR-00132,2023-01-31,12.0,Director of Photography,220000.0,False,Ops Manager,No issues
163,BK-01023,CR-00031,2023-01-31,8.0,Grip,87000.0,False,Ngozi Okafor,No issues
164,BK-01023,CR-00079,2023-01-31,8.0,Sound Recordist,Unknown,False,Tunde Adeyemi,day_rate_missing
166,BK-01023,CR-00016,2023-01-31,14.0,Drone Operator,Unknown,True,Ngozi Okafor,"hours_above_12h_cap,day_rate_missing"
167,BK-01023,CR-00131,2023-01-31,8.0,Director of Photography,295000.0,False,Ngozi Okafor,No issues
168,BK-01023,CR-00077,2023-01-31,8.0,Art Director,Unknown,False,Tunde Adeyemi,"day_rate_missing,role_filled_from_crew_roster"
170,BK-01024,CR-00009,2023-02-02,10.0,Drone Operator,142000.0,False,Tunde Adeyemi,No issues
171,BK-01024,CR-00106,2023-02-02,8.0,Editor,216000.0,False,Ngozi Okafor,No issues
172,BK-01024,CR-00036,2023-02-02,8.0,Sound Recordist,106000.0,False,Ngozi Okafor,No issues
173,BK-01024,CR-00104,2023-02-02,9.0,Art Director,175500.0,False,Ngozi Okafor,No issues
174,BK-01024,CR-00131,2023-02-02,Unknown,Director of Photography,295000.0,False,Tunde Adeyemi,hours_missing
176,BK-01024,CR-00126,2023-02-02,14.0,Colorist,167000.0,True,Ngozi Okafor,hours_above_12h_cap
177,BK-01024,CR-00083,2023-02-02,8.0,Gaffer,120000.0,False,Unknown,No issues
178,BK-01025,CR-00034,2023-02-02,9.0,Production Assistant,18500.0,False,Unknown,No issues
179,BK-01025,CR-00034,2023-02-03,12.0,Production Assistant,37000.0,False,Ngozi Okafor,No issues
180,BK-01025,CR-00008,2023-02-02,9.0,Art Director,63000.0,False,Ops Manager,No issues
181,BK-01025,CR-00008,2023-02-03,10.0,Art Director,189000.0,False,Ngozi Okafor,No issues
182,BK-01025,CR-00058,2023-02-02,12.0,Drone Operator,170000.0,False,Tunde Adeyemi,No issues
183,BK-01025,CR-00058,2023-02-03,8.0,Drone Operator,85000.0,False,Ngozi Okafor,No issues
184,BK-01026,CR-00062,2023-02-03,Unknown,Grip,29500.0,False,Ngozi Okafor,hours_missing
185,BK-01026,CR-00022,2023-02-03,8.0,Sound Recordist,123000.0,False,Tunde Adeyemi,role_filled_from_crew_roster
186,BK-01026,CR-00120,2023-02-03,10.0,Gaffer,140000.0,False,Tunde Adeyemi,No issues
187,BK-01026,CR-00112,2023-02-03,12.0,Sound Recordist,87000.0,False,Unknown,No issues
188,BK-01028,CR-00109,2023-02-04,Unknown,Sound Recordist,128000.0,False,Tunde Adeyemi,hours_missing
189,BK-01028,CR-00129,2023-02-04,8.0,Camera Operator,171000.0,False,Unknown,No issues
191,BK-01028,CR-00136,2023-02-04,10.0,Camera Operator,153000.0,False,Ngozi Okafor,No issues
192,BK-01028,CR-00100,2023-02-04,8.0,Camera Operator,124000.0,False,Ops Manager,role_filled_from_crew_roster
193,BK-01028,CR-00082,2023-02-04,10.0,Grip,73500.0,False,Ngozi Okafor,No issues
194,BK-01028,CR-00048,2023-02-04,8.0,Camera Operator,104000.0,False,Tunde Adeyemi,No issues
195,BK-01028,CR-00093,2023-02-04,14.0,Drone Operator,199000.0,True,Tunde Adeyemi,hours_above_12h_cap
196,BK-01029,CR-00094,2023-02-04,Unknown,Editor,174000.0,False,Ngozi Okafor,hours_missing
197,BK-01029,CR-00137,2023-02-04,Unknown,Drone Operator,352500.0,False,Ops Manager,hours_missing
198,BK-01029,CR-00107,2023-02-04,8.0,Editor,124000.0,False,Tunde Adeyemi,No issues
199,BK-01029,CR-00106,2023-02-04,12.0,Editor,72000.0,False,Unknown,No issues
200,BK-01029,CR-00053,2023-02-04,10.0,Colorist,102000.0,False,Tunde Adeyemi,No issues
201,BK-01029,CR-00046,2023-02-04,9.0,Director of Photography,184000.0,False,Unknown,No issues
202,BK-01030,CR-00073,2023-02-04,6.0,Drone Operator,276000.0,False,Tunde Adeyemi,No issues
203,BK-01030,CR-00021,2023-02-04,9.0,Editor,120000.0,False,Tunde Adeyemi,No issues
204,BK-01030,CR-00095,2023-02-04,9.0,Colorist,281000.0,False,Tunde Adeyemi,No issues
205,BK-01031,CR-00115,2023-02-05,8.0,Editor,88000.0,False,Tunde Adeyemi,No issues
206,BK-01031,CR-00062,2023-02-05,9.0,Grip,59000.0,False,Tunde Adeyemi,No issues
207,BK-01031,CR-00051,2023-02-05,8.0,Colorist,253500.0,False,Tunde Adeyemi,No issues
208,BK-01032,CR-00129,2023-02-06,12.0,Camera Operator,171000.0,False,Unknown,role_filled_from_crew_roster
209,BK-01032,CR-00129,2023-02-07,9.0,Camera Operator,171000.0,False,Ngozi Okafor,No issues
210,BK-01032,CR-00129,2023-02-08,8.0,Camera Operator,256500.0,False,Ngozi Okafor,No issues
211,BK-01032,CR-00024,2023-02-06,14.0,Editor,92500.0,True,Ngozi Okafor,hours_above_12h_cap
212,BK-01032,CR-00024,2023-02-07,10.0,Editor,92500.0,False,Tunde Adeyemi,No issues
213,BK-01032,CR-00024,2023-02-08,10.0,Editor,277500.0,False,Ngozi Okafor,No issues
215,BK-01032,CR-00039,2023-02-07,9.0,Editor,107500.0,False,Ngozi Okafor,role_filled_from_crew_roster
216,BK-01032,CR-00039,2023-02-08,Unknown,Editor,322500.0,True,Ngozi Okafor,hours_missing
217,BK-01033,CR-00067,2023-02-07,8.0,Gaffer,61000.0,False,Ops Manager,No issues
218,BK-01033,CR-00067,2023-02-08,8.0,Gaffer,61000.0,False,Tunde Adeyemi,No issues
219,BK-01033,CR-00057,2023-02-07,12.0,Colorist,Unknown,False,Tunde Adeyemi,day_rate_missing
220,BK-01033,CR-00057,2023-02-08,14.0,Colorist,267000.0,True,Tunde Adeyemi,hours_above_12h_cap
221,BK-01033,CR-00051,2023-02-07,9.0,Colorist,253500.0,False,Tunde Adeyemi,No issues
222,BK-01033,CR-00051,2023-02-08,12.0,Colorist,169000.0,False,Tunde Adeyemi,No issues
223,BK-01033,CR-00120,2023-02-07,8.0,Gaffer,140000.0,False,Unknown,No issues
224,BK-01033,CR-00120,2023-02-08,14.0,Gaffer,140000.0,True,Ops Manager,hours_above_12h_cap
225,BK-01033,CR-00001,2023-02-07,10.0,Art Director,156000.0,False,Tunde Adeyemi,No issues
226,BK-01033,CR-00001,2023-02-08,8.0,Art Director,78000.0,False,Tunde Adeyemi,No issues
227,BK-01033,CR-00099,2023-02-07,8.0,Grip,48000.0,False,Unknown,role_filled_from_crew_roster
228,BK-01033,CR-00099,2023-02-08,Unknown,Grip,72000.0,False,Ops Manager,hours_missing
229,BK-01034,CR-00040,2023-02-07,10.0,Gaffer,51000.0,False,Tunde Adeyemi,No issues
230,BK-01034,CR-00066,2023-02-07,9.0,Camera Operator,154000.0,False,Tunde Adeyemi,No issues
231,BK-01034,CR-00105,2023-02-07,10.0,Gaffer,72000.0,False,Ngozi Okafor,No issues
232,BK-01034,CR-00106,2023-02-07,9.0,Editor,144000.0,False,Tunde Adeyemi,No issues
233,BK-01034,CR-00008,2023-02-07,9.0,Art Director,189000.0,False,Ngozi Okafor,role_filled_from_crew_roster
234,BK-01035,CR-00115,2023-02-07,8.0,Editor,176000.0,False,Ngozi Okafor,No issues
235,BK-01035,CR-00115,2023-02-08,8.0,Editor,88000.0,False,Tunde Adeyemi,No issues
236,BK-01035,CR-00018,2023-02-07,9.0,Drone Operator,230000.0,False,Ngozi Okafor,No issues
237,BK-01035,CR-00018,2023-02-08,6.0,Drone Operator,115000.0,False,Tunde Adeyemi,No issues
238,BK-01035,CR-00086,2023-02-07,14.0,Director of Photography,298500.0,True,Unknown,hours_above_12h_cap
239,BK-01035,CR-00086,2023-02-08,9.0,Director of Photography,298500.0,False,Tunde Adeyemi,No issues
240,BK-01035,CR-00027,2023-02-07,9.0,Production Assistant,63000.0,False,Tunde Adeyemi,No issues
241,BK-01035,CR-00027,2023-02-08,6.0,Production Assistant,42000.0,False,Tunde Adeyemi,No issues
242,BK-01035,CR-00094,2023-02-07,12.0,Editor,87000.0,False,Tunde Adeyemi,No issues
243,BK-01035,CR-00094,2023-02-08,8.0,Editor,87000.0,False,Unknown,No issues
244,BK-01037,CR-00045,2023-02-09,9.0,Gaffer,104000.0,False,Tunde Adeyemi,No issues
245,BK-01037,CR-00109,2023-02-09,8.0,Sound Recordist,128000.0,False,Unknown,No issues
246,BK-01037,CR-00129,2023-02-09,10.0,Camera Operator,171000.0,False,Ngozi Okafor,No issues
247,BK-01037,CR-00097,2023-02-09,8.0,Editor,54000.0,False,Tunde Adeyemi,No issues
248,BK-01037,CR-00008,2023-02-09,9.0,Art Director,126000.0,False,Tunde Adeyemi,No issues
249,BK-01037,CR-00101,2023-02-09,6.0,Drone Operator,188000.0,False,Unknown,No issues
250,BK-01037,CR-00069,2023-02-09,8.0,Gaffer,90000.0,False,Unknown,No issues
251,BK-01037,CR-00043,2023-02-09,10.0,Colorist,280000.0,False,Ngozi Okafor,No issues
252,BK-01037,CR-00126,2023-02-09,8.0,Colorist,167000.0,False,Ngozi Okafor,No issues
253,BK-01037,CR-00066,2023-02-09,9.0,Camera Operator,77000.0,False,Tunde Adeyemi,No issues
254,BK-01037,CR-00111,2023-02-09,9.0,Art Director,135000.0,False,Tunde Adeyemi,No issues
255,BK-01037,CR-00034,2023-02-09,10.0,Production Assistant,55500.0,False,Tunde Adeyemi,No issues
256,BK-01038,CR-00077,2023-02-09,6.0,Art Director,196000.0,False,Unknown,No issues
257,BK-01038,CR-00126,2023-02-09,14.0,Colorist,250500.0,True,Unknown,"hours_above_12h_cap,role_filled_from_crew_roster"
258,BK-01038,CR-00098,2023-02-09,8.0,Art Director,177000.0,False,Ngozi Okafor,No issues
259,BK-01038,CR-00078,2023-02-09,10.0,Sound Recordist,190500.0,False,Ngozi Okafor,No issues
260,BK-01038,CR-00128,2023-02-09,9.0,Director of Photography,286000.0,False,Unknown,No issues
261,BK-01038,CR-00076,2023-02-09,14.0,Editor,318000.0,True,Tunde Adeyemi,hours_above_12h_cap
262,BK-01038,CR-00015,2023-02-09,6.0,Colorist,272000.0,False,Ops Manager,No issues
263,BK-01038,CR-00097,2023-02-09,12.0,Editor,108000.0,False,Tunde Adeyemi,No issues
264,BK-01039,CR-00058,2023-02-10,8.0,Drone Operator,255000.0,False,Ops Manager,No issues
265,BK-01039,CR-00082,2023-02-10,8.0,Grip,49000.0,False,Tunde Adeyemi,No issues
266,BK-01039,CR-00074,2023-02-10,8.0,Camera Operator,174000.0,False,Ngozi Okafor,role_filled_from_crew_roster
267,BK-01039,CR-00004,2023-02-10,8.0,Art Director,Unknown,False,Tunde Adeyemi,day_rate_missing
268,BK-01041,CR-00084,2023-02-11,10.0,Editor,247500.0,False,Ops Manager,No issues
269,BK-01041,CR-00087,2023-02-11,8.0,Director of Photography,243000.0,False,Ops Manager,No issues
270,BK-01041,CR-00129,2023-02-11,10.0,Camera Operator,171000.0,False,Tunde Adeyemi,No issues
271,BK-01041,CR-00080,2023-02-11,9.0,Grip,54000.0,False,Ngozi Okafor,role_filled_from_crew_roster
